disease_id,disease
DIS_0869,Trigger finger
DIS_0869,Retinal diseases
DIS_0870,Retrograde ejaculation
DIS_0871,Truncus arteriosus
DIS_0871,Rett syndrome
DIS_0872,Rickets
DIS_0873,Roseola
DIS_0873,Tuberous sclerosis
DIS_0874,Tubular adenoma of the colon
DIS_0874,Rubella
DIS_0875,Scabies
DIS_0876,Scarlet fever
DIS_0876,Type 1 diabetes in children
DIS_0877,Seborrheic keratosis
DIS_0877,Type 2 diabetes
DIS_0878,Serotonin syndrome
DIS_0878,Type 2 diabetes in children
DIS_0879,Severe acute respiratory syndrome (SARS)
DIS_0880,Ulcerative colitis
DIS_0880,Shingles
DIS_0881,Sick sinus syndrome
DIS_0881,Ulnar wrist pain
DIS_0882,Strep throat
DIS_0883,Swimmer's ear
DIS_0884,Swimmer's itch
DIS_0884,Undifferentiated pleomorphic sarcoma
DIS_0885,Testicular torsion
DIS_0885,Ureteral cancer
DIS_0886,Thalassemia
DIS_0886,Ureteral obstruction
DIS_0887,Urethral stricture
DIS_0887,Thrombophlebitis
DIS_0888,Tinea versicolor
DIS_0888,Urinary incontinence
DIS_0889,Urinary tract infection (UTI)
DIS_0889,Tonsillitis
DIS_0890,Tooth abscess
DIS_0891,Toxic shock syndrome
DIS_0892,Uterine prolapse
DIS_0892,Transverse myelitis
DIS_0893,Traumatic brain injury
DIS_0894,VEXAS syndrome
DIS_0894,Trichinosis
DIS_0895,Vaginal agenesis
DIS_0895,Tricuspid atresia
DIS_0896,Tricuspid valve regurgitation
DIS_0897,Type 1 diabetes
DIS_0897,Vaginal fistula
DIS_0898,Typhoid fever
DIS_0899,Umbilical hernia
DIS_0900,Undescended testicle
DIS_0900,Varicocele
DIS_0901,Uveitis
DIS_0902,Valley fever
DIS_0902,Vasculitis
DIS_0903,Vasovagal syncope
DIS_0903,Ventricular fibrillation
DIS_0904,Viral gastroenteritis (stomach flu)
DIS_0905,Von Willebrand disease
DIS_0906,Ventricular tachycardia
DIS_0907,Vertebral tumor
DIS_0908,Vesicoureteral reflux
DIS_0910,Viral hemorrhagic fevers
DIS_0913,Vulvar cancer
DIS_0914,Waldenstrom macroglobulinemia
DIS_0915,Wet macular degeneration
DIS_0917,Whiplash
DIS_0918,Wilms tumor
DIS_0919,Wilson's disease
DIS_0920,Wolff-Parkinson-White (WPW) syndrome
DIS_0922,Yeast infection (vaginal)
DIS_0924,Zenker's diverticulum
DIS_0925,Zollinger-Ellison syndrome
DIS_0926,Absence seizure
DIS_0927,Acne
DIS_0928,Ameloblastoma
DIS_0929,Amyloidosis
DIS_0930,Anaplastic large cell lymphoma
DIS_0931,Anemia
DIS_0932,Angina
DIS_0933,Anorexia nervosa
DIS_0934,Appendix cancer
DIS_0935,Atopic dermatitis (eczema)
DIS_0936,Autism spectrum disorder
DIS_0937,Autoimmune epilepsy
DIS_0938,Baker cyst
DIS_0939,Bell's palsy
DIS_0940,Bone spurs
DIS_0941,Burns
DIS_0942,Cervical cancer
DIS_0943,Cervicitis
DIS_0946,Color blindness
DIS_0947,Conjoined twins
DIS_0948,Contact dermatitis
DIS_0949,Corns and calluses
DIS_0950,Crohn's disease
DIS_0951,Cryoglobulinemia
DIS_0952,Cutaneous B-cell lymphoma
DIS_0953,Delayed ejaculation
DIS_0954,Dementia
DIS_0955,Dermatitis
DIS_0956,Dislocated shoulder
DIS_0957,Dural arteriovenous fistulas
DIS_0958,Dwarfism
DIS_0959,Dyslexia
DIS_0960,Ebstein anomaly
DIS_0961,Edema
DIS_0962,Enlarged spleen (splenomegaly)
DIS_0963,Epididymitis
DIS_0964,Erectile dysfunction
DIS_0965,Esophageal spasms
DIS_0966,Fatty liver disease (MASLD)
DIS_0967,Fecal incontinence
DIS_0968,Fibroadenoma
DIS_0969,Flatfeet
DIS_0970,Food poisoning (foodborne illness)
DIS_0971,Frozen shoulder
DIS_0972,Genital herpes
DIS_0973,Genital warts
DIS_0974,Giant cell arteritis
DIS_0975,Gingivitis
DIS_0976,Golfer's elbow
DIS_0977,Gout
DIS_0978,Graves' disease
DIS_0979,Hair loss
DIS_0980,Hairy cell leukemia
DIS_0981,Hamstring injury
DIS_0982,Heart failure
DIS_0983,Hemorrhoids
DIS_0984,Hepatitis C
DIS_0985,Hip dysplasia
DIS_0986,Hodgkin lymphoma (Hodgkin disease)
DIS_0987,Hydrocephalus
DIS_0988,Hydronephrosis
DIS_0989,Hyperhidrosis
DIS_0990,Hypothyroidism (underactive thyroid)
DIS_0991,IgA nephropathy (Berger disease)
